sid;owner_name;owner_passportNum;owner_TIN(SSN);owner_email;owner_phone;property_type;property_area(square feet);property_location;property_distanceFromCenter (miles);property_numberBedrooms;property_numberBathrooms;property_pnumParking;property_centralHeating;property_airconditioned;property_basement;property_loft;property_sunExposure;property_requested_sale_rent_price;property_sale_rent_price (USD);commission(%);contract_duration(months);property_dateAnnounceRequest;property_dateofSale;type_business;store_ID;store_name;store_location;store_phonenumber;store_emailAddress
74;Zoe GERRIE;711111188;111-11-0077;ZoeGERRIE2155@hotmail.com;907-488-1496;house;1285;15004 Center Court Dr. N, Cerritos, CA, 90703;58;2;2;1;Y;Y;Y;Y;E;122000;113565;5;NA;16-01-2001;30-01-2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
75;Freya O'SULLIVAN;711111189;111-11-0078;FreyaOSULLIVAN2155@gmail.com;907-488-1497;house;1768;15005 Center Court Dr. N, Cerritos, CA, 90703;12;4;2;0;Y;N;Y;Y;W;131500;122923;5;NA;16-01-2001;16-01-2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
76;Scarlett ASHER;711111190;111-11-0079;ScarlettASHER2155@hotmail.com;907-488-1498;house;1230;15006 Center Court Dr. N, Cerritos, CA, 90703;46;2;2;2;Y;Y;Y;N;N;105000;98826;5;NA;16-01-2001;05-02-2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
77;Brooklyn OGSTON;711111191;111-11-0080;BrooklynOGSTON2155@yahoo.com;907-488-1499;house;2142;15007 Center Court Dr. N, Cerritos, CA, 90703;39;4;3;1;Y;Y;Y;N;E;188500;184629;5;NA;16-01-2001;02-02-2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
78;Evelyn DUKE;711111192;111-11-0081;EvelynDUKE2155@yahoo.com;907-488-1500;house;1337;15008 Center Court Dr. N, Cerritos, CA, 90703;58;2;3;2;Y;Y;Y;N;W;148500;145501;5;NA;16-01-2001;02-02-2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
79;Emma LENNOX;711111193;111-11-0082;EmmaLENNOX2155@yahoo.com;907-488-1501;house;1563;15009 Center Court Dr. N, Cerritos, CA, 90703;62;3;2;3;Y;Y;Y;Y;N;240000;238758;5;NA;16-01-2001;01-02-2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
80;Emma BINGHAM;711111194;111-11-0083;EmmaBINGHAM2155@yahoo.com;907-488-1502;house;1065;15010 Center Court Dr. N, Cerritos, CA, 90703;60;3;2;2;Y;Y;Y;Y;N;121500;116321;5;NA;16-01-2001;09-02-2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
81;Isla DODD;711111195;111-11-0084;IslaDODD2155@gmail.com;907-488-1503;house;1474;3360 Gateway Blvd, Fremont, CA, 94538;67;3;3;2;Y;Y;Y;N;S;163500;161981;5;NA;16-01-2001;29-01-2001;sale;5;Fremont;3353 Gateway Blvd, Fremont, CA, 94538;510-656-1900;fremont@realstateUSA.com
82;Annabelle LALLY;711111196;111-11-0085;AnnabelleLALLY2155@gmail.com;907-488-1504;house;2417;3361 Gateway Blvd, Fremont, CA, 94538;9;4;3;2;Y;Y;Y;N;S;255000;249163;5;NA;16-01-2001;07-02-2001;sale;5;Fremont;3353 Gateway Blvd, Fremont, CA, 94538;510-656-1900;fremont@realstateUSA.com
83;Emma BOSWELL;711111197;111-11-0086;EmmaBOSWELL2155@hotmail.com;907-488-1505;house;1560;3362 Gateway Blvd, Fremont, CA, 94538;17;3;3;2;Y;Y;Y;N;E;169000;168939;5;NA;16-01-2001;17-01-2001;sale;5;Fremont;3353 Gateway Blvd, Fremont, CA, 94538;510-656-1900;fremont@realstateUSA.com
84;Abigail BRADFORD;711111198;111-11-0087;AbigailBRADFORD2155@gmail.com;907-488-1506;house;1224;3363 Gateway Blvd, Fremont, CA, 94538;30;2;3;2;Y;Y;Y;Y;W;159500;156534;5;NA;16-01-2001;05-02-2001;sale;5;Fremont;3353 Gateway Blvd, Fremont, CA, 94538;510-656-1900;fremont@realstateUSA.com
85;Zoe WATERSTON;711111199;111-11-0088;ZoeWATERSTON2155@hotmail.com;907-488-1507;house;1526;3364 Gateway Blvd, Fremont, CA, 94538;62;2;1;0;Y;N;Y;Y;N;80000;76652;5;NA;17-01-2001;29-01-2001;sale;5;Fremont;3353 Gateway Blvd, Fremont, CA, 94538;510-656-1900;fremont@realstateUSA.com
86;Ayla SANGSTER;711111200;111-11-0089;AylaSANGSTER2155@hotmail.com;907-488-1508;house;990;2142 Rosecrans Avenue, El Segundo, CA, 90245;14;3;2;0;Y;Y;Y;N;E;118600;111205;5;NA;17-01-2001;29-01-2001;sale;6;El Segundo;2141 Rosecrans Avenue, El Segundo, CA, 90245;310-641-2100;elsegundo@realstateUSA.com
87;Sarah MCGRATH;711111201;111-11-0090;SarahMCGRATH2155@hotmail.com;907-488-1509;house;1040;2143 Rosecrans Avenue, El Segundo, CA, 90245;69;2;1;2;Y;Y;N;N;W;104900;98683;5;NA;17-01-2001;24-01-2001;sale;6;El Segundo;2141 Rosecrans Avenue, El Segundo, CA, 90245;310-641-2100;elsegundo@realstateUSA.com
88;Georgia PEDDIE;711111111;111-11-0000;GeorgiaPEDDIE2155@gmail.com;907-488-1419;house;1710;1801 Wazee Street, Denver, CO, 80202;54;3;4;2;Y;Y;Y;Y;S;208500;203748;5;NA;08-01-2001;10-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
89;Chloe LYLE;711111112;111-11-0001;ChloeLYLE2155@yahoo.com;907-488-1420;house;1262;1802 Wazee Street, Denver, CO, 80202;14;3;3;2;Y;Y;Y;Y;S;181500;174345;5;NA;08-01-2001;06-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
90;Olive VALLANCE;711111113;111-11-0002;OliveVALLANCE2155@gmail.com;907-488-1421;house;1786;1803 Wazee Street, Denver, CO, 80202;43;3;4;2;Y;Y;Y;N;E;223500;218280;5;NA;08-01-2001;29-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
91;Ruby GAULT;711111114;111-11-0003;RubyGAULT2155@gmail.com;907-488-1422;apartment;1717;1804 Wazee Street, Denver, CO, 80202;52;3;2;1;Y;Y;N;N;W;140000;135653;5;NA;09-01-2001;17-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
92;Stella RAI;711111115;111-11-0004;StellaRAI2155@hotmail.com;907-488-1423;house;2198;1805 Wazee Street, Denver, CO, 80202;15;4;4;3;Y;Y;Y;Y;N;250000;240071;5;NA;09-01-2001;07-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
93;Eva MORRICE;711111116;111-11-0005;EvaMORRICE2155@yahoo.com;907-488-1424;apartment;1362;1806 Wazee Street, Denver, CO, 80202;44;1;1;1;N;Y;N;N;N;143000;134531;5;NA;09-01-2001;27-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
94;Sophie KIRBY;711111118;111-11-0007;SophieKIRBY2155@hotmail.com;907-488-1426;house;2090;1807 Wazee Street, Denver, CO, 80202;63;3;4;2;Y;Y;Y;Y;S;200000;199221;5;NA;09-01-2001;11-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
95;Daisy LEGGATE;711111119;111-11-0008;DaisyLEGGATE2155@hotmail.com;907-488-1427;house;1774;1808 Wazee Street, Denver, CO, 80202;12;2;2;2;Y;Y;Y;Y;E;129900;120896;5;NA;09-01-2001;12-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
96;Layla BRODIE;711111120;111-11-0009;LaylaBRODIE2155@hotmail.com;907-488-1428;house;1077;1809 Wazee Street, Denver, CO, 80202;24;2;2;1;Y;Y;Y;N;W;118000;108458;5;NA;09-01-2001;07-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
97;Zara MCCUAIG;711111121;111-11-0010;ZaraMCCUAIG2155@hotmail.com;907-488-1429;house;1040;1810 Wazee Street, Denver, CO, 80202;31;3;2;1;Y;Y;Y;Y;N;129500;124746;5;NA;10-01-2001;03-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
98;Frankie LAUDER;711111122;111-11-0011;FrankieLAUDER2155@hotmail.com;907-488-1430;house;2324;1811 Wazee Street, Denver, CO, 80202;42;4;4;3;Y;Y;Y;Y;N;345000;340140;5;NA;10-01-2001;17-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
99;Eden LAW;711111123;111-11-0012;EdenLAW2155@hotmail.com;907-488-1431;house;912;1812 Wazee Street, Denver, CO, 80202;64;2;2;1;Y;Y;Y;N;S;144000;138832;5;NA;10-01-2001;29-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
100;Lily MACNAMARA;711111124;111-11-0013;LilyMACNAMARA2155@gmail.com;907-488-1432;house;1494;1813 Wazee Street, Denver, CO, 80202;18;3;2;3;Y;Y;Y;N;S;279500;278356;5;NA;10-01-2001;09-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
101;Riley SWEENEY;711111126;111-11-0015;RileySWEENEY2155@gmail.com;907-488-1434;house;854;1814 Wazee Street, Denver, CO, 80202;32;2;1;2;Y;Y;Y;Y;W;132000;127652;5;NA;10-01-2001;13-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
102;Emilia POLSON;711111127;111-11-0016;EmiliaPOLSON2155@hotmail.com;907-488-1435;house;1004;1815 Wazee Street, Denver, CO, 80202;7;2;2;2;Y;Y;Y;N;N;144000;141494;5;NA;10-01-2001;22-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
103;Jessica STEAD;711111128;111-11-0017;JessicaSTEAD2155@hotmail.com;907-488-1436;house;1296;1816 Wazee Street, Denver, CO, 80202;68;2;2;2;Y;Y;N;Y;E;85000;81935;5;NA;10-01-2001;24-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
104;Peyton SHAH;711111129;111-11-0018;PeytonSHAH2155@gmail.com;907-488-1437;house;1114;1817 Wazee Street, Denver, CO, 80202;3;3;3;2;Y;Y;Y;Y;W;154000;145853;5;NA;11-01-2001;30-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
105;Amber SANDISON;711111130;111-11-0019;AmberSANDISON2155@hotmail.com;907-488-1438;house;1339;1818 Wazee Street, Denver, CO, 80202;15;3;1;1;Y;Y;Y;N;N;134000;127248;5;NA;11-01-2001;15-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
106;Quinn RICHARDSON;711111131;111-11-0020;QuinnRICHARDSON2155@yahoo.com;907-488-1439;house;2376;1819 Wazee Street, Denver, CO, 80202;45;4;4;3;Y;Y;Y;N;N;320300;319695;5;NA;11-01-2001;03-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
107;Sofia RANDALL;711111132;111-11-0021;SofiaRANDALL2155@yahoo.com;907-488-1440;house;1108;1820 Wazee Street, Denver, CO, 80202;22;3;1;1;Y;Y;Y;N;S;134400;128417;5;NA;11-01-2001;18-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
108;Kaia KELLY;711111133;111-11-0022;KaiaKELLY2155@yahoo.com;907-488-1441;house;1795;1821 Wazee Street, Denver, CO, 80202;62;3;2;2;Y;Y;Y;Y;S;225000;217126;5;NA;11-01-2001;19-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
109;Matilda GILLIES;711111135;111-11-0024;MatildaGILLIES2155@hotmail.com;907-488-1443;house;1060;1822 Wazee Street, Denver, CO, 80202;58;3;2;1;Y;Y;Y;N;W;149000;142947;5;NA;11-01-2001;26-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
110;Eliza MACBEAN;711111136;111-11-0025;ElizaMACBEAN2155@gmail.com;907-488-1444;house;1600;1823 Wazee Street, Denver, CO, 80202;41;3;2;3;Y;Y;Y;N;N;251300;243652;5;NA;11-01-2001;08-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
111;Poppy BRIGGS;711111138;111-11-0027;PoppyBRIGGS2155@hotmail.com;907-488-1446;house;1704;1824 Wazee Street, Denver, CO, 80202;17;3;3;3;Y;Y;Y;Y;W;301000;299885;5;NA;11-01-2001;03-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
112;Victoria MEIGHAN;711111139;111-11-0028;VictoriaMEIGHAN2155@yahoo.com;907-488-1447;house;1600;1825 Wazee Street, Denver, CO, 80202;45;2;2;1;Y;Y;Y;Y;N;202500;200700;5;NA;11-01-2001;26-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
113;Riley LAING;711111140;111-11-0029;RileyLAING2155@hotmail.com;907-488-1448;house;520;1826 Wazee Street, Denver, CO, 80202;7;1;1;1;Y;N;Y;N;N;63500;61234;5;NA;12-01-2001;12-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
114;Emma BARKER;711111141;111-11-0030;EmmaBARKER2155@gmail.com;907-488-1449;house;1317;1827 Wazee Street, Denver, CO, 80202;60;3;1;1;Y;N;Y;N;S;35000;26933;5;NA;12-01-2001;31-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
115;Riley HALE;711111142;111-11-0031;RileyHALE2155@gmail.com;907-488-1450;house;1228;1828 Wazee Street, Denver, CO, 80202;51;3;2;1;Y;Y;Y;N;S;144350;139537;5;NA;12-01-2001;05-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
116;Lilly DOIG;711111143;111-11-0032;LillyDOIG2155@gmail.com;907-488-1451;house;1234;1829 Wazee Street, Denver, CO, 80202;36;3;2;2;Y;Y;Y;Y;E;174900;172574;5;NA;12-01-2001;12-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
117;Willow MCSHERRY;711111144;111-11-0033;WillowMCSHERRY2155@gmail.com;907-488-1452;house;1700;1830 Wazee Street, Denver, CO, 80202;63;4;3;2;Y;Y;Y;Y;W;160500;153590;5;NA;12-01-2001;22-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
118;Quinn COLLINS;711111145;111-11-0034;QuinnCOLLINS2155@gmail.com;907-488-1453;house;1561;1831 Wazee Street, Denver, CO, 80202;69;2;3;2;Y;Y;Y;N;N;272500;263790;5;NA;12-01-2001;16-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
119;Sarah STILL;711111146;111-11-0035;SarahSTILL2155@yahoo.com;907-488-1454;house;2452;1832 Wazee Street, Denver, CO, 80202;42;4;4;3;Y;Y;Y;N;E;304000;303935;5;NA;12-01-2001;07-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
120;Addison WOODS;711111147;111-11-0036;AddisonWOODS2155@hotmail.com;907-488-1455;house;1097;1833 Wazee Street, Denver, CO, 80202;58;3;2;2;Y;Y;Y;N;W;140000;130362;5;NA;12-01-2001;25-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
121;Alexis AHMAD;711111148;111-11-0037;AlexisAHMAD2155@yahoo.com;907-488-1456;house;1297;1834 Wazee Street, Denver, CO, 80202;8;3;2;2;Y;Y;Y;Y;N;148000;145673;5;NA;12-01-2001;05-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
122;Ava MEIGHAN;711111149;111-11-0038;AvaMEIGHAN2155@gmail.com;907-488-1457;house;1057;1835 Wazee Street, Denver, CO, 80202;44;3;2;1;Y;Y;Y;Y;N;104000;98595;5;NA;12-01-2001;17-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
123;Elsie BRASH;711111150;111-11-0039;ElsieBRASH2155@yahoo.com;907-488-1458;house;1152;1836 Wazee Street, Denver, CO, 80202;0;2;2;0;Y;N;N;N;S;77000;70466;5;NA;12-01-2001;24-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
124;Bella NESBITT;711111151;111-11-0040;BellaNESBITT2155@gmail.com;907-488-1459;house;1324;1837 Wazee Street, Denver, CO, 80202;14;3;2;2;Y;Y;Y;N;S;155000;150434;5;NA;12-01-2001;12-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
125;Scarlett DAVIDSON;711111152;111-11-0041;ScarlettDAVIDSON2155@yahoo.com;907-488-1460;house;1328;1838 Wazee Street, Denver, CO, 80202;28;2;3;1;Y;Y;Y;N;E;165000;163855;5;NA;12-01-2001;31-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
126;Maia PRICE;711111153;111-11-0042;MaiaPRICE2155@hotmail.com;907-488-1461;house;884;1839 Wazee Street, Denver, CO, 80202;24;2;2;2;Y;Y;Y;Y;W;139000;137808;5;NA;12-01-2001;05-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
127;Emilia MACKENZIE;711111154;111-11-0043;EmiliaMACKENZIE2155@hotmail.com;907-488-1462;house;938;1840 Wazee Street, Denver, CO, 80202;17;3;2;1;Y;Y;Y;Y;N;125250;117106;5;NA;13-01-2001;22-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
128;Sophia KILPATRICK;711111155;111-11-0044;SophiaKILPATRICK2155@hotmail.com;907-488-1463;house;1150;1841 Wazee Street, Denver, CO, 80202;70;3;2;1;Y;Y;Y;N;E;136000;132275;5;NA;13-01-2001;25-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
129;Eleanor ROY;711111156;111-11-0045;EleanorROY2155@yahoo.com;907-488-1464;house;1752;1842 Wazee Street, Denver, CO, 80202;67;2;3;2;Y;Y;Y;N;W;314900;308684;5;NA;13-01-2001;02-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
130;Nina WOTHERSPOON;711111157;111-11-0046;NinaWOTHERSPOON2155@hotmail.com;907-488-1465;house;2149;1843 Wazee Street, Denver, CO, 80202;64;1;3;2;Y;Y;Y;N;N;234686;225584;5;NA;13-01-2001;27-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
131;Olivia MCGARRITY;711111158;111-11-0047;OliviaMCGARRITY2155@yahoo.com;907-488-1466;house;1656;1844 Wazee Street, Denver, CO, 80202;10;3;2;3;Y;Y;Y;Y;N;244700;240705;5;NA;13-01-2001;05-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
132;Mila FENTON;711111159;111-11-0048;MilaFENTON2155@hotmail.com;907-488-1467;house;1452;1845 Wazee Street, Denver, CO, 80202;55;2;2;0;Y;Y;Y;Y;S;108000;103217;5;NA;13-01-2001;07-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
133;Alexis NICHOLLS;711111160;111-11-0049;AlexisNICHOLLS2155@gmail.com;907-488-1468;house;955;1846 Wazee Street, Denver, CO, 80202;26;3;2;1;Y;Y;Y;N;S;122000;115082;5;NA;13-01-2001;09-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
134;Maia BLACKLOCK;711111161;111-11-0050;MaiaBLACKLOCK2155@yahoo.com;907-488-1469;house;1470;1847 Wazee Street, Denver, CO, 80202;2;3;3;2;Y;Y;Y;N;E;172000;166097;5;NA;13-01-2001;27-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
135;Ava CARGILL;711111162;111-11-0051;AvaCARGILL2155@hotmail.com;907-488-1470;house;1176;1848 Wazee Street, Denver, CO, 80202;70;3;1;2;Y;Y;Y;N;W;109500;103937;5;NA;13-01-2001;27-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
136;Heidi WEBBER;711111163;111-11-0052;HeidiWEBBER2155@yahoo.com;907-488-1471;house;816;1849 Wazee Street, Denver, CO, 80202;58;2;2;2;Y;N;Y;Y;N;105000;100969;5;NA;13-01-2001;17-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
137;Hazel LECKIE;711111164;111-11-0053;HazelLECKIE2155@gmail.com;907-488-1472;house;1842;1850 Wazee Street, Denver, CO, 80202;31;0;3;3;Y;Y;Y;Y;E;380000;374465;5;NA;13-01-2001;17-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
138;Emilia MENZIES;711111165;111-11-0054;EmiliaMENZIES2155@gmail.com;907-488-1473;house;1360;1851 Wazee Street, Denver, CO, 80202;40;3;1;2;Y;Y;Y;N;W;125000;120920;5;NA;13-01-2001;18-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
139;Bella MCWILLIAMS;711111166;111-11-0055;BellaMCWILLIAMS2155@hotmail.com;907-488-1474;house;1425;1852 Wazee Street, Denver, CO, 80202;11;3;2;2;Y;Y;Y;N;N;175500;171357;5;NA;13-01-2001;06-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
140;Ava GREENHORN;711111167;111-11-0056;AvaGREENHORN2155@yahoo.com;907-488-1475;house;1739;1853 Wazee Street, Denver, CO, 80202;3;3;4;2;Y;Y;Y;N;N;167500;159007;5;NA;13-01-2001;29-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
141;Eleanor MILLS;711111168;111-11-0057;EleanorMILLS2155@yahoo.com;907-488-1476;house;1720;1854 Wazee Street, Denver, CO, 80202;67;3;3;2;Y;Y;Y;Y;S;191500;189746;5;NA;13-01-2001;29-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
142;Quinn MACASKILL;711111169;111-11-0058;QuinnMACASKILL2155@gmail.com;907-488-1477;house;2945;1855 Wazee Street, Denver, CO, 80202;12;3;4;3;Y;Y;Y;Y;S;433780;430465;5;NA;15-01-2001;15-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
143;Charlie TRAILL;711111170;111-11-0059;CharlieTRAILL2155@yahoo.com;907-488-1478;house;780;1856 Wazee Street, Denver, CO, 80202;53;2;1;1;Y;Y;Y;N;E;119900;119287;5;NA;15-01-2001;30-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
144;Amber CAIRNS;711111171;111-11-0060;AmberCAIRNS2155@yahoo.com;907-488-1479;house;1158;1857 Wazee Street, Denver, CO, 80202;25;3;3;2;Y;Y;Y;N;W;153000;150375;5;NA;15-01-2001;03-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
145;Lilly KIRK;711111172;111-11-0061;LillyKIRK2155@yahoo.com;907-488-1480;house;1111;1858 Wazee Street, Denver, CO, 80202;58;3;1;1;Y;N;Y;N;N;96000;94334;5;NA;15-01-2001;12-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
146;Madison FAIRLIE;711111173;111-11-0062;MadisonFAIRLIE2155@yahoo.com;907-488-1481;house;1370;1859 Wazee Street, Denver, CO, 80202;1;2;2;2;Y;Y;Y;Y;E;197500;196967;5;NA;15-01-2001;13-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
147;Billie LAUGHLIN;711111174;111-11-0063;BillieLAUGHLIN2155@gmail.com;907-488-1482;house;1710;1860 Wazee Street, Denver, CO, 80202;29;3;2;2;Y;Y;Y;Y;W;135000;131355;5;NA;15-01-2001;05-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
148;Isabelle DOUGAL;711111175;111-11-0064;IsabelleDOUGAL2155@hotmail.com;907-488-1483;house;2034;1861 Wazee Street, Denver, CO, 80202;36;3;4;2;Y;Y;Y;N;N;214500;206237;5;NA;15-01-2001;13-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
149;Abigail WALLIS;711111176;111-11-0065;AbigailWALLIS2155@hotmail.com;907-488-1484;house;2473;1862 Wazee Street, Denver, CO, 80202;34;4;3;3;Y;Y;Y;N;N;312000;311680;5;NA;15-01-2001;03-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
150;Bella AIRD;711111177;111-11-0066;BellaAIRD2155@gmail.com;907-488-1485;house;2207;1863 Wazee Street, Denver, CO, 80202;66;3;3;2;Y;Y;Y;N;S;175000;173737;5;NA;15-01-2001;03-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
151;Kaia CHAPPELL;711111178;111-11-0067;KaiaCHAPPELL2155@gmail.com;907-488-1486;house;1479;1864 Wazee Street, Denver, CO, 80202;18;3;3;2;Y;Y;Y;Y;S;221000;219928;5;NA;15-01-2001;19-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
152;Lilly COWE;711111179;111-11-0068;LillyCOWE2155@yahoo.com;907-488-1487;house;747;1865 Wazee Street, Denver, CO, 80202;14;2;1;1;Y;Y;Y;Y;E;75000;68283;5;NA;15-01-2001;22-01-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
153;Abigail GLYNN;711111180;111-11-0069;AbigailGLYNN2155@hotmail.com;907-488-1488;house;2287;1866 Wazee Street, Denver, CO, 80202;66;3;2;2;Y;Y;Y;N;W;220000;211424;5;NA;15-01-2001;12-02-2001;sale;7;Denver;1800 Wazee Street, Denver, CO, 80202;303-567-5000;denver@realstateUSA.com
